business_id,name,website,review_count,stars,latitude,longitude,address,city,state,postal_code,categories
9yc2V6zNpLG58uPV_ykBog,Boqueria West 40th St,https://www.yelp.com/biz/boqueria-west-40th-st-new-york?adjust_creative=mOvLaDpE4mdRLtHvvM6tbw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=mOvLaDpE4mdRLtHvvM6tbw,418,4.0,40.75558,-73.99011999999999,"['260 W 40th St', 'New York, NY 10018']",New York,NY,10018,"[{'alias': 'tapasmallplates', 'title': 'Tapas/Small Plates'}, {'alias': 'spanish', 'title': 'Spanish'}, {'alias': 'tapas', 'title': 'Tapas Bars'}]"
rp8S7scxOkVVeG7dNneMGQ,L'Artusi,https://www.yelp.com/biz/l-artusi-new-york?adjust_creative=mOvLaDpE4mdRLtHvvM6tbw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=mOvLaDpE4mdRLtHvvM6tbw,1854,4.5,40.73372,-74.00513000000001,"['228 W 10th St', 'New York, NY 10014']",New York,NY,10014,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]"
cgiwHTmlUD-2em2MCvmzeA,Java Indonesian Restaurant,https://www.yelp.com/biz/java-indonesian-restaurant-brooklyn?adjust_creative=mOvLaDpE4mdRLtHvvM6tbw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=mOvLaDpE4mdRLtHvvM6tbw,208,4.0,40.662645,-73.98477690000001,"['455 7th Ave', 'Brooklyn, NY 11215']",Brooklyn,NY,11215,"[{'alias': 'indonesian', 'title': 'Indonesian'}]"
nsAU6F2vmdnphmfIa_RuWg,Mable's Smokehouse & Banquet Hall,https://www.yelp.com/biz/mables-smokehouse-and-banquet-hall-brooklyn-6?adjust_creative=mOvLaDpE4mdRLtHvvM6tbw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=mOvLaDpE4mdRLtHvvM6tbw,860,4.0,40.7211890204726,-73.9570004492998,"['44 Berry St', 'Brooklyn, NY 11249']",Brooklyn,NY,11249,"[{'alias': 'bbq', 'title': 'Barbeque'}, {'alias': 'bars', 'title': 'Bars'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]"
GA5msU6NO9rQRctPfDJCBg,Peaches HotHouse,https://www.yelp.com/biz/peaches-hothouse-brooklyn?adjust_creative=mOvLaDpE4mdRLtHvvM6tbw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=mOvLaDpE4mdRLtHvvM6tbw,1201,4.0,40.6833699737169,-73.9437798410654,"['415 Tompkins Ave', 'Brooklyn, NY 11216']",Brooklyn,NY,11216,"[{'alias': 'southern', 'title': 'Southern'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'bars', 'title': 'Bars'}]"
RrNe_0PReWHXAnjTEXBikQ,Luke's Lobster Brooklyn Bridge Park,https://www.yelp.com/biz/lukes-lobster-brooklyn-bridge-park-brooklyn-2?adjust_creative=mOvLaDpE4mdRLtHvvM6tbw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=mOvLaDpE4mdRLtHvvM6tbw,340,4.0,40.703590000000005,-73.99410999999999,"['11 Water St', 'Brooklyn, NY 11201']",Brooklyn,NY,11201,"[{'alias': 'seafood', 'title': 'Seafood'}]"
WIhm0W9197f_rRtDziq5qQ,Lombardi's Pizza,https://www.yelp.com/biz/lombardis-pizza-new-york-4?adjust_creative=mOvLaDpE4mdRLtHvvM6tbw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=mOvLaDpE4mdRLtHvvM6tbw,6121,4.0,40.721593496008296,-73.99559560445608,"['32 Spring St', 'New York, NY 10012']",New York,NY,10012,"[{'alias': 'pizza', 'title': 'Pizza'}]"
nI1UYDCYUTt23TpGxqnLKg,Buddakan,https://www.yelp.com/biz/buddakan-new-york?adjust_creative=mOvLaDpE4mdRLtHvvM6tbw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=mOvLaDpE4mdRLtHvvM6tbw,4001,4.0,40.7422762672197,-74.0048000961542,"['75 9th Ave', 'New York, NY 10011']",New York,NY,10011,"[{'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'bars', 'title': 'Bars'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}]"
dhKZRnt3DwfSu48OdPDdvA,Pasta Louise,https://www.yelp.com/biz/pasta-louise-brooklyn?adjust_creative=mOvLaDpE4mdRLtHvvM6tbw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=mOvLaDpE4mdRLtHvvM6tbw,36,5.0,40.666090999999994,-73.9787254,"['803 8th Ave', 'Brooklyn, NY 11215']",Brooklyn,NY,11215,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'pastashops', 'title': 'Pasta Shops'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]"
TTGFxOebpxfLVVFqfZemKA,Boka,https://www.yelp.com/biz/boka-new-york-2?adjust_creative=mOvLaDpE4mdRLtHvvM6tbw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=mOvLaDpE4mdRLtHvvM6tbw,32,4.5,40.714809,-73.998272,"['23 Pell St', 'New York, NY 10013']",New York,NY,10013,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'bbq', 'title': 'Barbeque'}, {'alias': 'seafood', 'title': 'Seafood'}]"
